,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,30.0,205,6.83,147,36,10,4,8,32,1.07,24,2,2,1,3,0,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,23.7,46,1.94,38,0,0,3,5,5,0.21,4,0,0,0,1,0,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,17,1.29,16,0,0,1,0,2,0.15,2,0,0,0,0,0,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,30.1,19,0.63,18,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,88,3.78,51,10,14,7,6,7,0.30,5,0,1,0,1,0,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,13.9,10,0.72,9,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,32.9,102,3.10,56,38,2,3,3,11,0.33,8,3,0,0,0,0,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,36.0,21,0.58,18,0,0,1,2,4,0.11,3,0,0,0,1,0,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,28.7,8,0.28,5,1,0,2,0,1,0.03,1,0,0,0,0,0,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,39,3.78,19,0,11,1,8,6,0.58,3,0,2,0,1,0,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,30.9,62,2.01,46,1,6,7,2,15,0.49,7,0,3,4,1,0,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,34.2,76,2.22,57,0,9,7,3,5,0.15,3,0,0,2,0,0,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,4,1.39,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,11,1.53,7,0,1,2,1,1,0.14,0,0,1,0,0,0,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,37.0,2,0.05,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,25,3.11,15,6,1,2,1,2,0.25,1,0,0,1,0,0,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,5,0.36,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,6,0.44,5,0,0,0,1,1,0.07,1,0,0,0,0,0,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,34.9,23,0.66,21,2,0,0,0,3,0.09,3,0,0,0,0,0,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,33.1,4,0.12,4,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,34.4,6,0.17,3,0,0,3,0,1,0.03,0,0,0,1,0,0,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,28,2.44,27,1,0,0,0,1,0.09,1,0,0,0,0,0,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,6,0.37,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,40,3.28,31,8,1,0,0,3,0.25,2,1,0,0,0,0,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,36.6,20,0.55,15,0,1,3,1,4,0.11,3,0,0,0,1,0,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,21.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,22.1,32,1.45,30,0,1,0,1,3,0.14,3,0,0,0,0,0,Matches
