,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
238,Raoul Bellanova\Raoul-Bellanova,it ITA,DF,Atalanta,it Serie A,19,2000,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
239,Karim Bellarabi\Karim-Bellarabi,de GER,FWDF,Leverkusen,de Bundesliga,29,1990,15.8,48,3.03,34,2,5,5,2,8,0.51,6,0,1,0,1,0,Matches
240,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,16.6,47,2.83,38,3,1,0,5,5,0.30,4,0,0,0,1,0,Matches
241,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,eng Premier League,24,1995,12.9,14,1.09,11,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
242,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,25,1993,32.4,89,2.76,60,0,8,7,14,11,0.34,6,0,1,3,1,0,Matches
243,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,es La Liga,20,1999,20.3,29,1.43,23,4,0,2,0,0,0.00,0,0,0,0,0,0,Matches
244,Sami Ben Amar\Sami-Ben-Amar,ma MAR,FW,Nîmes,fr Ligue 1,21,1998,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
245,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Valladolid,es La Liga,32,1987,1.8,3,1.70,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
246,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Monaco,fr Ligue 1,28,1990,24.0,88,3.66,68,0,10,6,4,13,0.54,6,0,3,2,2,0,Matches
247,Marco Benassi\Marco-Benassi,it ITA,MF,Fiorentina,it Serie A,24,1994,10.9,27,2.48,25,0,0,1,1,2,0.18,1,0,0,1,0,0,Matches
248,Cristian Benavente\Cristian-Benavente,pe PER,MFFW,Nantes,fr Ligue 1,25,1994,3.9,9,2.32,8,0,0,0,1,1,0.26,1,0,0,0,0,0,Matches
249,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,de Bundesliga,30,1989,15.3,28,1.84,22,5,0,1,0,2,0.13,2,0,0,0,0,0,Matches
250,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,30,1989,30.3,13,0.43,11,0,0,1,1,2,0.07,2,0,0,0,0,0,Matches
251,Darío Benedetto\Dario-Benedetto,ar ARG,FW,Marseille,fr Ligue 1,33,1986,23.3,38,1.63,28,0,2,4,4,6,0.26,1,0,1,2,2,0,Matches
252,László Bénes\Laszlo-Benes,sk SVK,MF,M'gladbach,de Bundesliga,21,1997,10.0,49,4.91,27,17,1,1,3,6,0.60,2,4,0,0,0,0,Matches
253,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26.0,2,0.08,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
254,Loris Benito\Loris-Benito,ch SUI,DF,Bordeaux,fr Ligue 1,27,1992,21.1,24,1.14,20,2,0,1,1,2,0.09,2,0,0,0,0,0,Matches
255,Bilal Benkhedim\Bilal-Benkhedim,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2001,1.5,4,2.73,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
256,Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,it Serie A,21,1997,26.9,63,2.43,50,9,1,0,3,4,0.15,3,0,0,0,1,0,Matches
257,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,eng Premier League,29,1990,6.7,5,0.74,4,1,0,0,0,1,0.15,0,1,0,0,0,0,Matches
258,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,eng Premier League,29,1990,3.7,2,0.54,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
259,Keanen Bennetts\Keanen-Bennetts,eng ENG,MF,M'gladbach,de Bundesliga,20,1999,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
260,Yassine Benrahou\Yassine-Benrahou,fr FRA,FWMF,Bordeaux,fr Ligue 1,20,1999,1.9,10,5.36,6,2,0,2,0,1,0.54,0,1,0,0,0,0,Matches
261,Yassine Benrahou\Yassine-Benrahou,fr FRA,MFFW,Nîmes,fr Ligue 1,20,1999,8.5,34,4.02,14,12,1,3,4,5,0.59,1,2,0,1,1,0,Matches
262,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'gladbach,de Bundesliga,24,1995,16.1,22,1.37,17,0,1,2,2,5,0.31,4,0,0,1,0,0,Matches
263,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,eng Premier League,24,1994,8.3,10,1.20,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
264,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,22,1997,24.4,69,2.93,47,17,2,0,3,10,0.42,5,3,1,0,1,0,Matches
265,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,28,1990,14.0,36,2.57,24,0,5,4,3,6,0.43,5,0,1,0,0,0,Matches
266,Romario Benzar\Romario-Benzar,ro ROU,DF,Lecce,it Serie A,27,1992,1.1,3,2.78,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
