,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
2172,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,eng Premier League,28,1991,7.7,14,1.81,12,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2173,Lukas Rupp\Lukas-Rupp,de GER,MFFW,Hoffenheim,de Bundesliga,28,1991,3.8,5,1.32,5,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
2174,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,27,1992,38.0,4,0.11,3,1,0,0,0,3,0.08,2,1,0,0,0,0,Matches
2175,Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,de Bundesliga,21,1997,4.1,2,0.49,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
2176,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,de Bundesliga,26,1992,9.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2177,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,MFFW,Wolfsburg,de Bundesliga,25,1994,18.1,42,2.32,27,1,5,6,3,4,0.22,3,0,1,0,0,0,Matches
2178,Roli Pereira de Sa\Roli-Pereira-de-Sa,fr FRA,MF,Nantes,fr Ligue 1,22,1996,0.1,2,30.00,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2179,Youssouf Sabaly\Youssouf-Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,26,1993,10.1,21,2.07,17,0,0,0,4,1,0.10,1,0,0,0,0,0,Matches
2180,Stefano Sabelli\Stefano-Sabelli,it ITA,DF,Brescia,it Serie A,26,1993,34.2,57,1.72,46,4,1,1,5,3,0.09,3,0,0,0,0,0,Matches
2181,Abdelhamid Sabiri\Abdelhamid-Sabiri,de GER,MF,Paderborn 07,de Bundesliga,22,1996,11.6,25,2.15,16,1,3,1,4,3,0.26,2,0,1,0,0,0,Matches
2182,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,25,1994,27.8,102,3.67,87,6,2,5,2,12,0.43,10,0,0,1,1,0,Matches
2183,Ihsan Sacko\Ihsan-Sacko,fr FRA,FW,Nice,fr Ligue 1,22,1997,1.6,5,3.10,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
2184,Alexis Saelemaekers\Alexis-Saelemaekers,be BEL,FWMF,Milan,it Serie A,20,1999,7.3,23,3.64,21,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
2185,Jorge Sáenz\Jorge-Saenz,es ESP,DFFW,Celta Vigo,es La Liga,22,1996,4.1,3,0.73,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2186,Nuri Şahin\Nuri-Sahin,tr TUR,MF,Werder Bremen,de Bundesliga,30,1988,13.9,44,3.17,23,20,1,0,0,4,0.29,2,2,0,0,0,0,Matches
2187,Wesley Saïd\Wesley-Said,fr FRA,MFFW,Toulouse,fr Ligue 1,24,1995,12.9,28,2.17,16,2,5,3,2,2,0.16,2,0,0,0,0,0,Matches
2188,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,eng Premier League,22,1997,20.7,87,4.20,52,0,22,6,7,9,0.43,6,0,1,1,1,0,Matches
2189,Théo Sainte-Luce\Theo-Sainte-Luce,fr FRA,DFFW,Nîmes,fr Ligue 1,20,1998,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2190,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,es La Liga,18,2001,6.4,14,2.20,8,0,3,3,0,0,0.00,0,0,0,0,0,0,Matches
2191,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,eng Premier League,29,1990,30.1,25,0.83,19,1,1,3,0,2,0.07,0,0,0,1,0,1,Matches
2192,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,eng Premier League,17,2001,19.5,45,2.31,32,2,7,2,2,7,0.36,6,0,1,0,0,0,Matches
2193,Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,fr Ligue 1,29,1990,18.0,35,1.94,26,4,1,0,4,2,0.11,1,0,0,0,1,0,Matches
2194,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,eng Premier League,29,1990,10.3,1,0.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2195,Jacopo Sala\Jacopo-Sala,it ITA,DF,SPAL,it Serie A,27,1991,9.5,17,1.79,13,1,3,0,0,1,0.11,0,1,0,0,0,0,Matches
2196,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,eng Premier League,27,1992,32.0,118,3.69,76,4,23,10,5,16,0.50,8,2,4,1,1,0,Matches
2197,Bartosz Salamon\Bartosz-Salamon,pl POL,DF,SPAL,it Serie A,28,1991,3.7,1,0.37,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2198,Eddy Salcedo\Eddy-Salcedo,it ITA,FWMF,Hellas Verona,it Serie A,17,2001,7.4,19,2.58,14,0,0,3,2,0,0.00,0,0,0,0,0,0,Matches
2199,William Saliba\William-Saliba,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2001,11.0,4,0.36,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2200,Yannis Salibur\Yannis-Salibur,fr FRA,MFFW,Mallorca,es La Liga,28,1991,0.9,4,4.39,3,0,1,0,0,2,2.20,1,0,1,0,0,0,Matches
2201,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,35,1984,4.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2202,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Valladolid,es La Liga,20,1999,30.3,4,0.13,3,0,0,0,1,2,0.07,2,0,0,0,0,0,Matches
2203,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,22,1997,12.9,31,2.40,23,0,3,1,4,2,0.15,1,0,0,0,1,0,Matches
2204,Lazar Samardzic\Lazar-Samardzic,de GER,MF,Hertha BSC,de Bundesliga,17,2002,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2205,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,de Bundesliga,23,1996,14.6,15,1.03,15,0,0,0,0,3,0.21,3,0,0,0,0,0,Matches
2206,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,eng Premier League,26,1992,10.5,21,2.00,14,0,1,1,4,1,0.10,0,0,0,0,0,1,Matches
2207,Mama Samba Baldé\Mama-Samba-Balde,gw GNB,FWMF,Dijon,fr Ligue 1,23,1995,18.6,44,2.36,27,0,3,6,8,9,0.48,6,0,1,2,0,0,Matches
2208,Junior Sambia\Junior-Sambia,fr FRA,DFMF,Montpellier,fr Ligue 1,22,1996,6.5,12,1.84,5,1,1,3,2,1,0.15,1,0,0,0,0,0,Matches
2209,Frédéric Sammaritano\Frederic-Sammaritano,fr FRA,MFFW,Dijon,fr Ligue 1,33,1986,5.8,32,5.56,15,14,0,2,1,3,0.52,2,1,0,0,0,0,Matches
2210,Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,es La Liga,22,1997,19.5,16,0.82,15,0,0,1,0,1,0.05,1,0,0,0,0,0,Matches
2211,Mikel San José\Mikel-San-Jose,es ESP,MF,Athletic Club,es La Liga,30,1989,4.0,2,0.50,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2212,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Genoa,it Serie A,23,1996,14.7,35,2.38,25,0,5,2,3,5,0.34,3,0,1,0,1,0,Matches
2213,Oihan Sancet\Oihan-Sancet,es ESP,MF,Athletic Club,es La Liga,19,2000,8.2,23,2.79,16,0,3,2,2,3,0.36,2,0,0,0,1,0,Matches
2214,Renato Sanches\Renato-Sanches,pt POR,MFFW,Lille,fr Ligue 1,21,1997,16.5,64,3.88,36,15,6,3,4,4,0.24,2,2,0,0,0,0,Matches
2215,Renato Sanches\Renato-Sanches,pt POR,MF,Bayern Munich,de Bundesliga,21,1997,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2216,Alexis Sánchez\Alexis-Sanchez,cl CHI,FW,Inter,it Serie A,30,1988,10.0,62,6.61,41,11,3,2,5,13,1.39,10,2,0,0,1,0,Matches
2217,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,eng Premier League,33,1986,1.3,1,0.77,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2218,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,eng Premier League,23,1996,27.0,6,0.22,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2219,Germán Sánchez\German-Sanchez,es ESP,DF,Granada,es La Liga,32,1986,25.5,6,0.24,6,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
2220,Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,es La Liga,22,1997,5.5,4,0.72,1,1,0,1,1,1,0.18,1,0,0,0,0,0,Matches
2221,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,es La Liga,18,2000,3.6,7,1.94,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2222,Víctor Sánchez\Victor-Sanchez,es ESP,MFDF,Espanyol,es La Liga,31,1987,18.8,41,2.19,26,13,1,1,0,2,0.11,1,0,1,0,0,0,Matches
2223,Jadon Sancho\Jadon-Sancho,eng ENG,FWMF,Dortmund,de Bundesliga,19,2000,25.4,124,4.88,95,13,9,5,2,32,1.26,25,2,3,2,0,0,Matches
2224,Alex Sandro\Alex-Sandro,br BRA,DF,Juventus,it Serie A,28,1991,26.5,66,2.59,56,2,2,1,5,6,0.24,5,0,0,1,0,0,Matches
2225,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,eng Premier League,23,1996,0.1,1,7.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2226,Salif Sané\Salif-Sane,sn SEN,DF,Schalke 04,de Bundesliga,28,1990,12.5,5,0.40,4,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
2227,Luca Sangalli\Luca-Sangalli,es ESP,MF,Real Sociedad,es La Liga,24,1995,4.1,10,2.42,8,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2228,Ibrahim Sangaré\Ibrahim-Sangare,ci CIV,MF,Toulouse,fr Ligue 1,21,1997,24.2,53,2.19,46,0,3,1,3,4,0.17,3,0,0,0,1,0,Matches
2229,Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,es La Liga,33,1986,25.8,35,1.36,32,0,0,0,3,2,0.08,2,0,0,0,0,0,Matches
2230,Yaya Sanogo\Yaya-Sanogo,fr FRA,FW,Toulouse,fr Ligue 1,26,1993,10.1,18,1.78,11,0,1,2,3,2,0.20,1,0,0,0,0,1,Matches
2231,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Marseille,fr Ligue 1,24,1994,24.1,74,3.06,52,4,4,3,11,6,0.25,4,1,0,1,0,0,Matches
2232,Nicola Sansone\Nicola-Sansone,it ITA,FWMF,Bologna,it Serie A,27,1991,24.7,99,4.18,55,18,13,5,7,12,0.51,6,2,1,2,0,1,Matches
2233,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Angers,fr Ligue 1,24,1995,27.8,42,1.51,30,0,4,4,4,3,0.11,2,0,0,0,1,0,Matches
2234,Federico Santander\Federico-Santander,py PAR,FW,Bologna,it Serie A,28,1991,8.1,25,3.10,19,0,0,1,4,4,0.50,1,0,0,1,1,1,Matches
2235,Davide Santon\Davide-Santon,it ITA,DF,Roma,it Serie A,28,1991,6.5,5,0.77,3,1,0,0,1,1,0.15,0,1,0,0,0,0,Matches
2236,Samir Santos\Samir-Santos,br BRA,DF,Udinese,it Serie A,24,1994,16.2,6,0.40,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2237,Riccardo Saponara\Riccardo-Saponara,it ITA,MFFW,Genoa,it Serie A,27,1991,1.9,8,4.29,7,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
2238,Riccardo Saponara\Riccardo-Saponara,it ITA,MFFW,Lecce,it Serie A,27,1991,9.5,50,5.30,39,5,0,4,2,5,0.53,4,0,0,0,1,0,Matches
2239,Ivan Šaponjić\Ivan-Saponjic,rs SRB,FWDF,Atlético Madrid,es La Liga,21,1997,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2240,Pablo Sarabia\Pablo-Sarabia,es ESP,FWMF,Paris S-G,fr Ligue 1,27,1992,12.9,38,2.94,28,2,2,5,1,5,0.39,2,0,0,2,1,0,Matches
2241,Marcelo Saracchi\Marcelo-Saracchi,uy URU,DF,RB Leipzig,de Bundesliga,21,1998,2.0,4,2.01,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2242,Josh Sargent\Josh-Sargent,us USA,FW,Werder Bremen,de Bundesliga,19,2000,15.7,29,1.84,18,0,4,5,2,7,0.44,4,0,1,2,0,0,Matches
2243,Bouna Sarr\Bouna-Sarr,gn GUI,DFFW,Marseille,fr Ligue 1,27,1992,24.0,47,1.95,34,2,3,3,5,7,0.29,5,1,0,0,1,0,Matches
2244,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,eng Premier League,21,1998,22.5,68,3.02,49,1,4,5,9,8,0.36,5,0,0,0,3,0,Matches
2245,Malang Sarr\Malang-Sarr,fr FRA,DF,Nice,fr Ligue 1,20,1999,16.2,7,0.43,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2246,Sidy Sarr\Sidy-Sarr,sn SEN,MF,Nîmes,fr Ligue 1,23,1996,12.9,22,1.70,18,0,2,1,1,2,0.15,2,0,0,0,0,0,Matches
2247,Joan Sastre Vanrell\Joan-Sastre-Vanrell,es ESP,DF,Mallorca,es La Liga,22,1997,15.1,28,1.85,24,1,0,1,1,3,0.20,2,0,0,0,0,1,Matches
2248,Téji Savanier\Teji-Savanier,fr FRA,MF,Montpellier,fr Ligue 1,27,1991,16.9,53,3.13,28,16,3,1,5,6,0.35,3,2,0,0,1,0,Matches
2249,Stefan Savić\Stefan-Savic,me MNE,DF,Atlético Madrid,es La Liga,28,1991,22.0,5,0.23,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2250,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,eng Premier League,27,1991,18.6,16,0.86,13,0,1,2,0,3,0.16,2,0,0,1,0,0,Matches
2251,Louis Schaub\Louis-Schaub,at AUT,MF,Köln,de Bundesliga,24,1994,6.9,23,3.32,13,4,3,0,3,1,0.14,1,0,0,0,0,0,Matches
2252,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,eng Premier League,30,1989,4.0,3,0.75,1,0,0,1,1,1,0.25,0,0,0,0,1,0,Matches
2253,Patrik Schick\Patrik-Schick,cz CZE,FW,RB Leipzig,de Bundesliga,23,1996,14.4,37,2.57,25,0,4,5,3,5,0.35,3,0,2,0,0,0,Matches
2254,Julian Schieber\Julian-Schieber,de GER,FW,Augsburg,de Bundesliga,30,1989,0.5,2,4.19,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2255,Kingsley Schindler\Kingsley-Schindler,de GER,FWMF,Köln,de Bundesliga,26,1993,9.4,21,2.23,16,0,2,2,1,3,0.32,2,0,1,0,0,0,Matches
2256,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,de Bundesliga,21,1997,19.1,36,1.88,28,0,5,1,2,4,0.21,4,0,0,0,0,0,Matches
2257,Keven Schlotterbeck\Keven-Schlotterbeck,de GER,DF,Union Berlin,de Bundesliga,22,1997,21.5,5,0.23,3,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
2258,Nico Schlotterbeck\Nico-Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,19,1999,4.1,6,1.45,6,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
2259,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,eng Premier League,26,1992,11.5,13,1.13,9,0,1,1,2,2,0.17,2,0,0,0,0,0,Matches
2260,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,eng Premier League,32,1986,38.0,5,0.13,1,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2261,Marcel Schmelzer\Marcel-Schmelzer,de GER,DF,Dortmund,de Bundesliga,31,1988,0.7,2,2.73,2,0,0,0,0,1,1.36,1,0,0,0,0,0,Matches
2262,Jonathan Schmid\Jonathan-Schmid,fr FRA,DF,Freiburg,de Bundesliga,29,1990,31.5,66,2.09,43,12,2,4,5,2,0.06,1,0,0,1,0,0,Matches
2263,Manuel Schmiedebach\Manuel-Schmiedebach,de GER,MF,Union Berlin,de Bundesliga,30,1988,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2264,Benno Schmitz\Benno-Schmitz,de GER,DF,Köln,de Bundesliga,24,1994,12.9,25,1.94,24,1,0,0,0,1,0.08,1,0,0,0,0,0,Matches
2265,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,eng Premier League,29,1989,11.1,17,1.53,15,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
2266,Lasse Schöne\Lasse-Schone,dk DEN,MF,Genoa,it Serie A,33,1986,27.0,69,2.64,31,27,2,8,1,5,0.19,2,1,0,2,0,0,Matches
2267,Sebastian Schonlau\Sebastian-Schonlau,de GER,DF,Paderborn 07,de Bundesliga,24,1994,23.0,10,0.43,9,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
2268,Alessandro Schöpf\Alessandro-Schopf,at AUT,MF,Schalke 04,de Bundesliga,25,1994,15.9,27,1.70,22,2,0,0,3,3,0.19,1,1,0,0,1,0,Matches
2269,Jerdy Schouten\Jerdy-Schouten,nl NED,MF,Bologna,it Serie A,22,1997,11.2,20,1.83,18,0,1,0,1,2,0.18,2,0,0,0,0,0,Matches
2270,Markus Schubert\Markus-Schubert,de GER,GK,Schalke 04,de Bundesliga,21,1998,8.2,3,0.36,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2271,Nico Schulz\Nico-Schulz,de GER,DF,Dortmund,de Bundesliga,26,1993,6.6,10,1.52,7,1,1,1,0,2,0.30,2,0,0,0,0,0,Matches
2272,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,de Bundesliga,27,1992,23.2,2,0.09,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2273,Matteo Scozzarella\Matteo-Scozzarella,it ITA,MF,Parma,it Serie A,31,1988,10.2,24,2.35,13,11,0,0,0,3,0.29,1,2,0,0,0,0,Matches
2274,Aleksandar Sedlar\Aleksandar-Sedlar,rs SRB,DF,Mallorca,es La Liga,27,1991,9.0,5,0.55,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2275,Davie Selke\Davie-Selke,de GER,FW,Hertha BSC,de Bundesliga,24,1995,10.7,18,1.69,9,0,0,0,9,1,0.09,1,0,0,0,0,0,Matches
2276,Davie Selke\Davie-Selke,de GER,FW,Werder Bremen,de Bundesliga,24,1995,5.1,7,1.36,6,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
2277,Matz Sels\Matz-Sels,be BEL,GK,Strasbourg,fr Ligue 1,27,1992,27.0,4,0.15,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2278,Ken Sema\Ken-Sema,se SWE,DF,Udinese,it Serie A,25,1993,26.3,69,2.72,51,9,6,2,1,2,0.08,2,0,0,0,0,0,Matches
2279,Nélson Semedo\Nelson-Semedo,pt POR,DF,Barcelona,es La Liga,25,1993,23.3,32,1.37,23,0,4,0,5,6,0.26,3,0,0,0,3,0,Matches
2280,Alessandro Semprini\Alessandro-Semprini,it ITA,DF,Brescia,it Serie A,21,1998,6.6,8,1.23,6,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2281,Josep Señé\Josep-Sene,es ESP,MF,Mallorca,es La Liga,27,1991,1.7,6,3.60,5,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
2282,Stefano Sensi\Stefano-Sensi,it ITA,MFFW,Inter,it Serie A,23,1995,8.0,42,5.23,23,7,6,3,3,7,0.87,1,1,2,1,2,0,Matches
2283,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,it Serie A,28,1991,33.0,5,0.16,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2284,Suat Serdar\Suat-Serdar,de GER,MF,Schalke 04,de Bundesliga,22,1997,17.8,32,1.80,23,0,5,1,3,3,0.17,3,0,0,0,0,0,Matches
2285,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,eng Premier League,19,2000,3.8,4,1.05,4,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
2286,Salva Sevilla\Salva-Sevilla,es ESP,MF,Mallorca,es La Liga,35,1984,28.5,95,3.33,49,37,1,4,4,5,0.18,3,1,0,1,0,0,Matches
2287,Yevhen Shakhov\Yevhen-Shakhov,ua UKR,MFFW,Lecce,it Serie A,28,1990,11.7,25,2.33,21,1,1,0,2,6,0.56,4,1,0,0,1,0,Matches
2288,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,eng Premier League,27,1991,2.1,4,1.95,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2289,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,eng Premier League,33,1986,11.7,26,2.23,18,0,2,2,4,3,0.26,2,0,0,1,0,0,Matches
2290,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,eng Premier League,24,1995,19.3,42,2.18,34,4,1,1,2,1,0.05,1,0,0,0,0,0,Matches
2291,Khiry Shelton\Khiry-Shelton,us USA,FWMF,Paderborn 07,de Bundesliga,26,1993,0.4,3,7.94,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
2292,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,27,1992,23.5,60,2.55,42,14,3,1,0,6,0.25,3,2,1,0,0,0,Matches
2293,Gen Shoji\Gen-Shoji,jp JPN,DF,Toulouse,fr Ligue 1,26,1992,0.5,1,2.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2294,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,eng Premier League,27,1992,20.3,35,1.73,30,3,0,0,2,4,0.20,4,0,0,0,0,0,Matches
2295,Kalidou Sidibé\Kalidou-Sidibe,fr FRA,MF,Toulouse,fr Ligue 1,20,1999,1.0,2,1.98,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2296,Sidnei\Sidnei,br BRA,DF,Betis,es La Liga,29,1989,13.1,7,0.54,5,1,0,1,0,1,0.08,1,0,0,0,0,0,Matches
2297,Theoson Siebatcheu\Theoson-Siebatcheu,fr FRA,FW,Rennes,fr Ligue 1,23,1996,4.9,11,2.25,9,0,1,0,0,2,0.41,1,0,0,0,0,1,Matches
2298,Kaj Sierhuis\Kaj-Sierhuis,nl NED,FW,Reims,fr Ligue 1,21,1998,0.1,1,7.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2299,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,eng Premier League,29,1989,28.4,80,2.81,32,31,4,11,2,8,0.28,4,2,1,1,0,0,Matches
2300,Luca Siligardi\Luca-Siligardi,it ITA,FWMF,Parma,it Serie A,31,1988,3.3,5,1.57,5,0,0,0,0,2,0.63,2,0,0,0,0,0,Matches
2301,Adrien Silva\Adrien-Silva,pt POR,MF,Monaco,fr Ligue 1,30,1989,13.6,31,2.29,22,6,3,0,0,3,0.22,1,2,0,0,0,0,Matches
2302,André Silva\Andre-Silva,pt POR,FW,Eint Frankfurt,de Bundesliga,23,1995,17.5,55,3.14,40,0,6,3,5,7,0.40,3,0,1,1,1,1,Matches
2303,André Silva\Andre-Silva,pt POR,FW,Milan,it Serie A,23,1995,0.7,1,1.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2304,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,eng Premier League,24,1994,22.6,94,4.17,81,2,6,4,1,12,0.53,9,0,2,1,0,0,Matches
2305,David Silva\David-Silva,es ESP,MF,Manchester City,eng Premier League,33,1986,20.3,108,5.32,88,1,8,6,5,17,0.84,13,1,1,1,1,0,Matches
2306,Gabriel Silva\Gabriel-Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,28,1991,2.6,1,0.39,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2307,Jonathan Silva\Jonathan-Silva,ar ARG,DF,Leganés,es La Liga,25,1994,30.9,46,1.49,35,5,3,1,2,3,0.10,2,1,0,0,0,0,Matches
2308,Matheus Pereira da Silva\Matheus-Pereira-da-Silva,br BRA,MFFW,Dijon,fr Ligue 1,21,1998,5.2,21,4.06,14,4,1,2,0,1,0.19,0,0,0,1,0,0,Matches
2309,Rui Silva\Rui-Silva,pt POR,GK,Granada,es La Liga,25,1994,35.0,6,0.17,4,2,0,0,0,1,0.03,0,1,0,0,0,0,Matches
2310,Thiago Silva\Thiago-Silva,br BRA,DF,Paris S-G,fr Ligue 1,34,1984,17.5,13,0.74,13,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
2311,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,28,1991,35.0,3,0.09,0,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2312,Mohamed Simakan\Mohamed-Simakan,fr FRA,DF,Strasbourg,fr Ligue 1,19,2000,16.7,23,1.38,16,0,3,0,4,2,0.12,2,0,0,0,0,0,Matches
2313,Giovanni Simeone\Giovanni-Simeone,ar ARG,FW,Cagliari,it Serie A,24,1995,31.5,41,1.34,27,0,5,3,5,6,0.20,4,0,0,0,1,1,Matches
2314,Moses Simon\Moses-Simon,ng NGA,FWMF,Nantes,fr Ligue 1,24,1995,24.2,69,2.85,50,0,14,2,2,10,0.41,6,0,3,0,0,1,Matches
2315,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,es La Liga,22,1997,33.2,4,0.12,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2316,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,eng Premier League,22,1997,2.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2317,Sarpreet Singh\Sarpreet-Singh,nz NZL,FWMF,Bayern Munich,de Bundesliga,20,1999,0.8,1,1.25,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2318,Wilfried Singo\Wilfried-Singo,ci CIV,DF,Torino,it Serie A,18,2000,1.5,1,2.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2319,Daley Sinkgraven\Daley-Sinkgraven,nl NED,DF,Leverkusen,de Bundesliga,24,1995,10.1,16,1.58,14,1,1,0,0,1,0.10,1,0,0,0,0,0,Matches
2320,Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Leganés,es La Liga,30,1988,21.3,12,0.56,9,0,1,2,0,2,0.09,1,0,0,1,0,0,Matches
