,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,24,7,0,29.2,0.86,0.25,0.08,0.29,2.6,2.6,0.11,-0.6,-0.6,Matches
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,2,0,0,9,4,0,44.4,1.49,0.66,0.22,0.50,1.1,1.1,0.13,+0.9,+0.9,Matches
41,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0,0,0,2,0,0,0.0,0.16,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,1,0,0,18,7,6,38.9,0.65,0.25,0.06,0.14,0.7,0.7,0.04,+0.3,+0.3,Matches
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,0,0,0,10,4,0,40.0,0.64,0.26,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,Matches
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,7,1,1,47,18,0,38.3,3.60,1.38,0.13,0.33,6.9,6.2,0.13,+0.1,-0.2,Matches
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2,0,0,7,3,0,42.9,0.29,0.12,0.29,0.67,1.0,1.0,0.15,+1.0,+1.0,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,32.6,6,1,1,93,26,11,28.0,2.85,0.80,0.05,0.19,6.6,5.8,0.06,-0.6,-0.8,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1,0,0,14,4,0,28.6,0.39,0.11,0.07,0.25,1.5,1.5,0.11,-0.5,-0.5,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,0,0,0,10,2,0,20.0,1.04,0.21,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4,0,0,25,8,1,32.0,2.44,0.78,0.16,0.50,3.3,3.3,0.13,+0.7,+0.7,Matches
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,5,0,0,15,7,0,46.7,2.55,1.19,0.33,0.71,3.7,3.7,0.25,+1.3,+1.3,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,3,0,0,19,8,0,42.1,0.97,0.41,0.16,0.38,2.4,2.4,0.13,+0.6,+0.6,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,2,0,0,33,8,9,24.2,1.54,0.37,0.06,0.25,1.6,1.6,0.05,+0.4,+0.4,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2,0,0,16,5,0,31.3,0.49,0.15,0.13,0.40,1.1,1.1,0.07,+0.9,+0.9,Matches
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1,0,0,2,1,0,50.0,0.09,0.05,0.50,1.00,0.1,0.1,0.07,+0.9,+0.9,Matches
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0,0,1,1,0,100.0,0.52,0.52,0.00,0.00,0.0,0.0,0.04,0.0,0.0,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,1,0,0,12,4,0,33.3,1.47,0.49,0.08,0.25,1.1,1.1,0.09,-0.1,-0.1,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,4,0,0,44,13,12,29.5,1.25,0.37,0.09,0.31,2.8,2.8,0.06,+1.2,+1.2,Matches
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,6,0,0,58,21,11,36.2,3.34,1.21,0.10,0.29,5.7,5.7,0.10,+0.3,+0.3,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,13.9,2,0,0,12,7,0,58.3,0.86,0.50,0.17,0.29,0.7,0.7,0.06,+1.3,+1.3,Matches
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,8,1,1,39,18,0,46.2,1.90,0.88,0.18,0.39,7.1,6.3,0.16,+0.9,+0.7,Matches
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,4,0,0,55,17,0,30.9,1.64,0.51,0.07,0.24,6.7,6.7,0.12,-2.7,-2.7,Matches
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,0,0,30,8,1,26.7,1.89,0.50,0.13,0.50,2.1,2.1,0.07,+1.9,+1.9,Matches
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,0,0,0,8,0,0,0.0,0.52,0.00,0.00,,0.2,0.2,0.03,-0.2,-0.2,Matches
68,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
69,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,0,0,0,4,0,0,0.0,0.31,0.00,0.00,,0.3,0.3,0.06,-0.3,-0.3,Matches
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0,0,0,12,2,0,16.7,0.38,0.06,0.00,0.00,1.2,1.2,0.10,-1.2,-1.2,Matches
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,28.2,0,0,0,22,1,9,4.5,0.78,0.04,0.00,0.00,1.0,1.0,0.04,-1.0,-1.0,Matches
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,0,0,0,13,3,0,23.1,0.98,0.23,0.00,0.00,1.1,1.1,0.09,-1.1,-1.1,Matches
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,0,0,0,6,1,0,16.7,0.71,0.12,0.00,0.00,1.0,1.0,0.17,-1.0,-1.0,Matches
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,0,0,0,4,0,0,0.0,0.47,0.00,0.00,,0.5,0.5,0.12,-0.5,-0.5,Matches
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1,0,0,11,2,0,18.2,0.58,0.11,0.09,0.50,0.4,0.4,0.03,+0.6,+0.6,Matches
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1,0,0,15,4,0,26.7,0.62,0.17,0.07,0.25,0.6,0.6,0.04,+0.4,+0.4,Matches
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,0,0,0,23,4,0,17.4,3.78,0.66,0.00,0.00,1.4,1.4,0.06,-1.4,-1.4,Matches
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0,0,0,8,3,0,37.5,0.44,0.17,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6,Matches
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,1,0,0,43,18,0,41.9,2.08,0.87,0.02,0.06,2.5,2.5,0.06,-1.5,-1.5,Matches
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,1,0,0,0.0,1.11,0.00,0.00,,0.2,0.2,0.15,-0.2,-0.2,Matches
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,0,0,0,16,5,0,31.3,2.88,0.90,0.00,0.00,0.8,0.8,0.05,-0.8,-0.8,Matches
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,30.5,1,1,1,17,6,0,35.3,0.56,0.20,0.00,0.00,2.0,1.2,0.07,-1.0,-1.2,Matches
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1,0,0,10,1,0,10.0,0.59,0.06,0.10,1.00,0.9,0.9,0.09,+0.1,+0.1,Matches
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,0,0,0,1,0,0,0.0,0.54,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,1,0,0,23,8,0,34.8,1.38,0.48,0.04,0.13,2.5,2.5,0.11,-1.5,-1.5,Matches
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,12,1,2,61,35,0,57.4,2.05,1.17,0.18,0.31,12.5,11.0,0.18,-0.5,0.0,Matches
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,1,0,0,1,1,0,100.0,1.23,1.23,1.00,1.00,0.2,0.2,0.15,+0.8,+0.8,Matches
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,2,0,0,16,3,0,18.8,0.70,0.13,0.13,0.67,1.0,1.0,0.06,+1.0,+1.0,Matches
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,3.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
91,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1,0,0,50,7,4,14.0,1.75,0.24,0.02,0.14,2.1,2.1,0.04,-1.1,-1.1,Matches
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0,0,4,0,0,0.0,0.35,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,0,1,13,4,0,30.8,1.48,0.46,0.08,0.25,2.5,1.8,0.14,-1.5,-0.8,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1,0,0,24,7,8,29.2,0.92,0.27,0.04,0.14,0.6,0.6,0.02,+0.4,+0.4,Matches
96,Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,1,0,0,5,2,0,40.0,0.41,0.16,0.20,0.50,0.7,0.7,0.13,+0.3,+0.3,Matches
97,Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,0,0,0,5,0,0,0.0,1.06,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
98,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,1,0,0,0.0,4.50,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
99,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,10.3,0,0,0,14,4,0,28.6,1.36,0.39,0.00,0.00,0.8,0.8,0.06,-0.8,-0.8,Matches
100,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,18.3,4,0,0,28,8,1,28.6,1.53,0.44,0.14,0.50,1.4,1.4,0.05,+2.6,+2.6,Matches
101,Janis Antiste\Janis-Antiste,fr FRA,FW,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,1,0,,0.0,7.50,0.00,0.00,,,,,,,Matches
102,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,10,1,1,67,30,0,44.8,3.41,1.53,0.13,0.30,11.9,11.1,0.17,-1.9,-2.1,Matches
103,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,0,0,0,1,0,0,0.0,0.09,0.00,0.00,,0.1,0.1,0.09,-0.1,-0.1,Matches
104,Mirko Antonucci\Mirko-Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,0,0,0,3,0,0,0.0,3.29,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
105,Vitorino Antunes\Vitorino-Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
106,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,1,0,0,47,10,1,21.3,1.71,0.36,0.02,0.10,4.5,4.5,0.10,-3.5,-3.5,Matches
107,Anuar\Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,0,0,0,1,0,0,0.0,0.48,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
108,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,3,0,0,45,17,2,37.8,2.07,0.78,0.07,0.18,3.9,3.9,0.09,-0.9,-0.9,Matches
109,Adil Aouchiche\Adil-Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
110,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,0,0,0,1,0,0,0.0,0.06,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
111,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1,0,0,46,7,4,15.2,1.35,0.21,0.02,0.14,2.0,2.0,0.04,-1.0,-1.0,Matches
112,Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,1,0,0,0.0,1.13,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
113,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1,0,0,15,2,0,13.3,0.64,0.08,0.07,0.50,1.5,1.5,0.10,-0.5,-0.5,Matches
114,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,2,0,0,24,11,0,45.8,2.61,1.20,0.08,0.18,1.4,1.4,0.06,+0.6,+0.6,Matches
115,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1,0,0,12,3,0,25.0,0.37,0.09,0.08,0.33,0.8,0.8,0.07,+0.2,+0.2,Matches
116,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,0,0,1,0,0,0.0,0.38,0.00,0.00,,0.3,0.3,0.26,-0.3,-0.3,Matches
117,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1,0,0,14,2,3,14.3,0.63,0.09,0.07,0.50,0.8,0.8,0.06,+0.2,+0.2,Matches
118,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
119,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
120,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,0,0,0,6,2,0,33.3,0.50,0.17,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches
121,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
122,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,5,0,0,46,19,0,41.3,2.41,1.00,0.11,0.26,3.3,3.3,0.07,+1.7,+1.7,Matches
123,José Arnaiz\Jose-Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,2,0,0,21,6,0,28.6,2.39,0.68,0.10,0.33,1.4,1.4,0.07,+0.6,+0.6,Matches
124,José Arnaiz\Jose-Arnaiz,es ESP,MFFW,Leganés,es La Liga,24,1995,3.7,0,0,0,11,5,0,45.5,2.94,1.34,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
125,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,4,0,0,63,17,9,27.0,2.01,0.54,0.06,0.24,2.4,2.4,0.04,+1.6,+1.6,Matches
126,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
127,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,0,0,0,3,0,0,0.0,0.42,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,0,0,0,2,0,0,0.0,0.28,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,3,0,0,9,5,1,55.6,2.41,1.34,0.33,0.60,1.7,1.7,0.19,+1.3,+1.3,Matches
131,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
132,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,14,5,7,78,31,11,39.7,2.15,0.86,0.12,0.29,13.8,8.5,0.11,+0.2,+0.5,Matches
133,Roger Assalé\Roger-Assale,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,2,0,0,11,6,0,54.5,1.86,1.02,0.18,0.33,1.7,1.7,0.15,+0.3,+0.3,Matches
134,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,0,0,0,1,0,0,0.0,3.00,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
135,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,eng Premier League,27,1992,8.3,0,0,0,5,1,0,20.0,0.60,0.12,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
136,Youcef Attal\Youcef-Attal,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,1,0,0,19,9,0,47.4,1.70,0.81,0.05,0.11,1.7,1.7,0.09,-0.7,-0.7,Matches
137,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,22,2,2,90,40,2,44.4,2.58,1.15,0.22,0.50,16.4,14.8,0.16,+5.6,+5.2,Matches
138,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
139,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,10.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
140,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,0,0,0,7,3,0,42.9,2.37,1.02,0.00,0.00,0.5,0.5,0.08,-0.5,-0.5,Matches
141,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,0,0,0,5,0,2,0.0,0.49,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
142,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,1,0,0,13,4,0,30.8,0.43,0.13,0.08,0.25,0.5,0.5,0.04,+0.5,+0.5,Matches
143,Mathias Autret\Mathias-Autret,fr FRA,MFFW,Brest,fr Ligue 1,28,1991,13.6,2,0,0,27,9,0,33.3,1.99,0.66,0.07,0.22,2.0,2.0,0.07,0.0,0.0,Matches
144,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,9,0,0,68,27,0,39.7,3.85,1.53,0.13,0.33,7.0,7.0,0.10,+2.0,+2.0,Matches
145,Javier Avilés\Javier-Aviles,es ESP,MFFW,Leganés,es La Liga,21,1997,2.0,1,0,0,5,2,0,40.0,2.45,0.98,0.20,0.50,0.5,0.5,0.09,+0.5,+0.5,Matches
146,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,0,0,0,10,0,0,0.0,0.45,0.00,0.00,,0.7,0.7,0.07,-0.7,-0.7,Matches
147,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Mainz 05,de Bundesliga,21,1997,5.4,1,0,0,13,3,0,23.1,2.42,0.56,0.08,0.33,2.1,2.1,0.16,-1.1,-1.1,Matches
148,Florian Ayé\Florian-Aye,fr FRA,FWMF,Brescia,it Serie A,22,1997,13.6,0,0,0,25,7,0,28.0,1.84,0.51,0.00,0.00,3.1,3.1,0.13,-3.1,-3.1,Matches
149,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,27,1991,35.0,9,0,0,56,24,0,42.9,1.60,0.69,0.16,0.38,6.5,6.5,0.12,+2.5,+2.5,Matches
150,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,2,0,0,28,4,7,14.3,0.92,0.13,0.07,0.50,2.5,2.5,0.09,-0.5,-0.5,Matches
151,Ramon Azeez\Ramon-Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,2,0,0,19,3,0,15.8,1.26,0.20,0.11,0.67,1.9,1.9,0.10,+0.1,+0.1,Matches
152,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,2,0,0,29,6,0,20.7,0.81,0.17,0.07,0.33,2.8,2.8,0.10,-0.8,-0.8,Matches
153,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,0,0,0,2,0,0,0.0,0.22,0.00,0.00,,0.1,0.1,0.07,-0.1,-0.1,Matches
154,Iddrisu Baba\Iddrisu-Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,0,0,0,15,2,0,13.3,0.47,0.06,0.00,0.00,1.0,1.0,0.06,-1.0,-1.0,Matches
155,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,3,0,2,47,16,0,34.0,2.97,1.01,0.06,0.19,6.1,4.4,0.09,-3.1,-1.4,Matches
156,Carlos Bacca\Carlos-Bacca,co COL,FWMF,Villarreal,es La Liga,32,1986,7.6,2,0,0,17,6,0,35.3,2.22,0.78,0.12,0.33,3.2,3.2,0.19,-1.2,-1.2,Matches
157,Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,1,0,0,16,2,0,12.5,0.91,0.11,0.06,0.50,1.3,1.3,0.08,-0.3,-0.3,Matches
158,Matthias Bader\Matthias-Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
159,Bastian Badu\Bastian-Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0,0,1,0,0,0.0,10.00,0.00,0.00,,0.0,0.0,0.05,0.0,0.0,Matches
160,Alejandro Baena\Alejandro-Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
161,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,4,1,1,20,9,0,45.0,1.98,0.89,0.15,0.33,2.9,2.1,0.11,+1.1,+0.9,Matches
162,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,1,0,0,16,2,0,12.5,0.74,0.09,0.06,0.50,0.5,0.5,0.03,+0.5,+0.5,Matches
163,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,21,1997,12.1,5,0,0,31,11,1,35.5,2.56,0.91,0.16,0.45,4.0,4.0,0.13,+1.0,+1.0,Matches
164,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
165,Dénys Bain\Denys-Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,1,0,0,3,1,0,33.3,0.21,0.07,0.33,1.00,0.6,0.6,0.20,+0.4,+0.4,Matches
166,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,eng Premier League,34,1984,4.5,0,0,0,1,0,1,0.0,0.22,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
